Local time,Open,High,Low,Close,Volume
22.01.2024 08:34:25.000 GMT-0600,193.516,193.527,193.446,193.446,0.096
22.01.2024 08:34:26.000 GMT-0600,193.456,193.477,193.456,193.477,0.06
22.01.2024 08:34:27.000 GMT-0600,193.486,193.486,193.447,193.447,0.096
22.01.2024 08:34:28.000 GMT-0600,193.446,193.486,193.446,193.486,0.08399999999999999
22.01.2024 08:34:29.000 GMT-0600,193.506,193.506,193.506,193.506,0.012
22.01.2024 08:34:30.000 GMT-0600,193.517,193.527,193.506,193.506,0.096
22.01.2024 08:34:31.000 GMT-0600,193.517,193.517,193.506,193.506,0.048
22.01.2024 08:34:32.000 GMT-0600,193.506,193.546,193.506,193.527,0.108
22.01.2024 08:34:33.000 GMT-0600,193.547,193.547,193.536,193.536,0.072
22.01.2024 08:34:34.000 GMT-0600,193.556,193.576,193.556,193.566,0.036
22.01.2024 08:34:35.000 GMT-0600,193.577,193.577,193.537,193.537,0.06
22.01.2024 08:34:36.000 GMT-0600,193.547,193.567,193.547,193.557,0.072
22.01.2024 08:34:37.000 GMT-0600,193.566,193.566,193.566,193.566,0.012
22.01.2024 08:34:38.000 GMT-0600,193.557,193.606,193.557,193.606,0.072
22.01.2024 08:34:39.000 GMT-0600,193.616,193.616,193.596,193.597,0.048
22.01.2024 08:34:40.000 GMT-0600,193.627,193.627,193.596,193.596,0.072
22.01.2024 08:34:41.000 GMT-0600,193.586,193.617,193.586,193.616,0.06
22.01.2024 08:34:42.000 GMT-0600,193.636,193.666,193.636,193.657,0.072
22.01.2024 08:34:43.000 GMT-0600,193.657,193.657,193.636,193.647,0.072
22.01.2024 08:34:44.000 GMT-0600,193.647,193.667,193.647,193.667,0.036
22.01.2024 08:34:45.000 GMT-0600,193.696,193.696,193.666,193.666,0.06
22.01.2024 08:34:46.000 GMT-0600,193.666,193.666,193.646,193.647,0.072
22.01.2024 08:34:47.000 GMT-0600,193.656,193.657,193.646,193.657,0.108
22.01.2024 08:34:48.000 GMT-0600,193.676,193.677,193.667,193.676,0.06
22.01.2024 08:34:49.000 GMT-0600,193.696,193.696,193.677,193.677,0.048
22.01.2024 08:34:50.000 GMT-0600,193.696,193.696,193.666,193.666,0.08399999999999999
22.01.2024 08:34:51.000 GMT-0600,193.676,193.696,193.666,193.687,0.096
22.01.2024 08:34:52.000 GMT-0600,193.687,193.717,193.687,193.717,0.06
22.01.2024 08:34:53.000 GMT-0600,193.727,193.727,193.697,193.697,0.072
22.01.2024 08:34:54.000 GMT-0600,193.676,193.687,193.667,193.676,0.06
22.01.2024 08:34:55.000 GMT-0600,193.676,193.707,193.676,193.686,0.12
22.01.2024 08:34:56.000 GMT-0600,193.676,193.756,193.676,193.737,0.096
22.01.2024 08:34:57.000 GMT-0600,193.747,193.756,193.736,193.736,0.108
22.01.2024 08:34:58.000 GMT-0600,193.746,193.756,193.736,193.756,0.072
22.01.2024 08:34:59.000 GMT-0600,193.787,193.787,193.776,193.776,0.06
22.01.2024 08:35:00.000 GMT-0600,193.796,193.817,193.796,193.807,0.13199999999999998
22.01.2024 08:35:01.000 GMT-0600,193.807,193.807,193.776,193.796,0.12
22.01.2024 08:35:02.000 GMT-0600,193.786,193.806,193.767,193.767,0.08399999999999999
22.01.2024 08:35:03.000 GMT-0600,193.757,193.786,193.757,193.786,0.048
22.01.2024 08:35:04.000 GMT-0600,193.787,193.817,193.787,193.807,0.08399999999999999
22.01.2024 08:35:05.000 GMT-0600,193.827,193.827,193.807,193.807,0.072
22.01.2024 08:35:06.000 GMT-0600,193.816,193.837,193.816,193.837,0.08399999999999999
22.01.2024 08:35:07.000 GMT-0600,193.847,193.857,193.826,193.847,0.108
22.01.2024 08:35:08.000 GMT-0600,193.846,193.897,193.846,193.886,0.108
22.01.2024 08:35:09.000 GMT-0600,193.886,193.896,193.876,193.886,0.08399999999999999
22.01.2024 08:35:10.000 GMT-0600,193.886,193.887,193.856,193.857,0.08399999999999999
22.01.2024 08:35:11.000 GMT-0600,193.847,193.867,193.846,193.867,0.08399999999999999
22.01.2024 08:35:12.000 GMT-0600,193.867,193.887,193.866,193.867,0.108
22.01.2024 08:35:13.000 GMT-0600,193.867,193.867,193.846,193.846,0.048
22.01.2024 08:35:14.000 GMT-0600,193.856,193.867,193.847,193.847,0.072
22.01.2024 08:35:15.000 GMT-0600,193.866,193.887,193.847,193.886,0.12
22.01.2024 08:35:16.000 GMT-0600,193.877,193.886,193.847,193.847,0.108
22.01.2024 08:35:17.000 GMT-0600,193.847,193.886,193.847,193.877,0.108
22.01.2024 08:35:18.000 GMT-0600,193.876,193.887,193.866,193.887,0.048
22.01.2024 08:35:19.000 GMT-0600,193.876,193.907,193.876,193.906,0.12
22.01.2024 08:35:20.000 GMT-0600,193.896,193.897,193.887,193.896,0.048
22.01.2024 08:35:21.000 GMT-0600,193.907,193.916,193.896,193.897,0.08399999999999999
22.01.2024 08:35:22.000 GMT-0600,193.906,193.916,193.896,193.907,0.08399999999999999
22.01.2024 08:35:23.000 GMT-0600,193.917,193.917,193.906,193.916,0.108
22.01.2024 08:35:24.000 GMT-0600,193.887,193.887,193.886,193.886,0.024
22.01.2024 08:35:25.000 GMT-0600,193.886,193.886,193.886,193.886,0.024
22.01.2024 08:35:26.000 GMT-0600,193.887,193.887,193.887,193.887,0.012
